Control item (Have you answered this questionnaire randomly?) 1 = No; 5 = Yes,Age,Sex,Education,Nationality,Religion,Political tendency (1 = Left-wing), PSEUDO 1, PSEUDO 2, PSEUDO 3, PSEUDO 4 (R) , PSEUDO 5, PSEUDO 6, PSEUDO 7 (R) , PSEUDO 8, PSEUDO 9, PSEUDO 10, PSEUDO 11 (R) , PSEUDO 12, PSEUDO 13, PSEUDO 14, PSEUDO 15, PSEUDO 16, PSEUDO 17, PSEUDO 18, PSEUDO 19, PSEUDO 20, PSEUDO 21, PSEUDO 22, PSEUDO 23, PSEUDO 24 (R) , PSEUDO 25 (R) , PSEUDO 26, PSEUDO 27 (R) , PSEUDO 28, PSEUDO 29, PSEUDO 30, PITS-PSEUDO 1, PITS-PSEUDO 2, PITS-PSEUDO 3, PITS-PSEUDO 4, PITS-PSEUDO 5, PITS-PSEUDO 6, PITS-PSEUDO 7, PITS-PSEUDO 8, PITS-PSEUDO 9, PITS-PSEUDO 10, IAS-PSEUDO 1 (R) , IAS-PSEUDO 2, IAS-PSEUDO 3, IAS-PSEUDO 4 (R) , IAS-PSEUDO 5 (R) , IAS-PSEUDO 6, GIS-PSEUDO 1, GIS-PSEUDO 2, GIS-PSEUDO 3 (R) , GIS-PSEUDO 4 (R) , GIS-PSEUDO 5, GIS-PSEUDO 6 (R) , GIS-PSEUDO 7, GIS-PSEUDO 8 (R) , GIS-PSEUDO 9, GIS-PSEUDO 10 (R) , GIS-PSEUDO 11 (R) , GIS-PSEUDO 12,SDQ-PSEUDO 1 (R),SDQ-PSEUDO 2,SDQ-PSEUDO 3,SDQ-PSEUDO 4 (R),SDQ-PSEUDO 5,SDQ-PSEUDO 6 (R),SDQ-PSEUDO 7,SDQ-PSEUDO 8,SDQ-PSEUDO 9
1,25,Male,University,Española,Religious,5,1,3,1,5,1,1,5,1,1,5,5,1,3,1,1,3,1,4,1,1,1,1,1,2,5,1,5,1,5,1,5,5,3,2,5,2,2,5,4,2,2,1,2,4,3,1,4,6,1,6,6,6,1,1,6,1,1,6,1,7,7,1,7,1,7,1,7
1,45,Male,University,ESPAÑOLA,Agnostic,5,1,1,1,5,1,1,4,1,3,2,5,1,3,2,2,3,1,1,1,2,1,2,2,3,2,1,5,2,4,1,4,4,4,4,4,4,4,4,4,4,1,3,3,3,1,3,5,2,2,5,5,6,5,5,4,2,5,4,4,6,6,2,6,3,6,6,6
1,42,Female,University,Española,Atheist,3,1,1,1,5,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,2,1,1,5,5,5,5,5,5,5,5,5,5,1,4,4,1,1,3,3,2,1,5,5,5,1,5,1,3,6,3,1,7,7,1,7,1,7,7,7
1,55,Male,University,Española la,Atheist,3,1,1,1,5,1,1,5,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,2,1,5,5,5,5,5,1,5,4,5,1,1,4,1,4,2,1,3,3,5,5,3,2,2,6,4,5,4,4,1,7,7,4,7,1,7,7,4
1,34,Male,University,Española,Atheist,4,1,3,1,4,1,1,5,1,1,1,5,1,1,1,2,3,1,1,1,5,2,1,1,5,5,1,5,1,1,1,5,5,5,5,5,1,4,4,4,1,2,2,3,4,4,2,2,4,4,2,4,5,5,5,3,3,3,5,2,4,5,2,6,3,5,4,6
1,43,Male,University,Catalana,Atheist,6,2,2,1,5,3,4,4,1,2,1,3,1,3,2,1,3,4,3,1,2,1,1,2,3,5,1,5,1,4,1,4,5,3,4,4,4,4,3,4,3,3,3,2,2,3,3,5,3,3,2,5,5,3,4,3,3,1,5,5,3,4,5,1,4,3,1,3
1,41,Male,Pre-University,Española,Atheist,7,4,3,3,5,3,1,3,1,5,4,4,1,3,1,1,3,1,5,1,1,1,1,1,2,5,1,5,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,4,3,2,5,1,5,5,5,5,1,2,5,4,4,3,5,5,4,4,3,4
1,38,Male,Pre-University,Española,Non-practicing religious,9,1,1,3,5,2,1,5,1,1,1,4,1,4,1,3,2,1,2,1,3,2,1,3,5,5,1,5,2,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,2,2,4,4,5,4,3,4,2,5,3,5,4,1,5,1,7,6,5,7,2,6,7,7
1,35,Female,University,Española,Non-practicing religious,4,3,4,3,4,2,2,3,2,2,2,4,2,4,2,1,3,1,4,2,2,2,3,2,4,4,2,4,2,4,2,2,3,4,2,4,3,3,2,2,2,3,2,3,3,3,2,3,3,3,4,3,4,3,4,4,4,4,5,3,5,5,3,5,3,5,6,4
1,43,Male,University,Mexicana,Religious,7,1,3,4,5,4,1,4,1,2,4,5,1,4,1,2,4,1,4,1,2,2,4,4,4,4,1,4,2,3,1,4,4,4,4,4,2,2,2,2,2,3,3,2,3,2,2,4,4,2,4,4,2,4,2,4,2,2,4,3,5,5,4,5,3,5,5,4
2,63,Male,University,Español,Agnostic,3,2,2,1,5,2,2,5,2,3,2,5,1,4,3,1,3,1,2,2,3,3,2,1,4,5,2,5,2,3,1,2,3,2,4,3,3,4,4,3,4,3,2,2,3,3,3,4,4,3,3,5,4,4,3,4,2,3,5,2,6,6,2,6,3,7,7,7
1,37,Male,University,Española,Atheist,2,1,2,2,5,2,2,4,1,3,1,5,1,4,1,1,3,1,4,1,1,1,1,1,5,5,1,5,1,2,1,5,5,4,4,2,4,5,5,5,2,3,2,1,4,3,4,4,4,4,5,1,4,6,3,5,5,1,5,1,7,7,1,7,4,5,6,7
1,52,Male,University,Catalana,Atheist,3,1,2,5,1,2,1,5,1,1,1,5,1,5,3,1,3,1,2,1,3,1,1,1,3,5,1,5,3,4,1,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,1,2,3,1,2,3,3,3,1,3,1,3,2,4,4,4,4,4,4,4,4,4
1,35,Male,Pre-University,Argentino,Atheist,3,1,1,1,5,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,5,5,1,5,3,3,1,5,5,5,5,5,5,5,5,5,5,1,3,1,3,3,1,5,5,5,5,4,1,6,2,5,2,5,5,3,4,5,3,7,3,5,7,7
1,46,Male,University,Española,Agnostic,3,1,1,3,5,1,1,5,1,3,1,5,1,5,1,1,1,1,1,1,5,1,2,1,5,5,1,5,3,3,1,5,5,3,5,5,1,5,5,5,3,1,4,1,3,1,3,5,3,1,2,1,1,6,6,5,1,4,6,2,4,4,4,7,7,6,7,7
1,31,Female,University,Mexicana,Religious,1,5,5,5,1,5,5,5,5,1,5,5,1,5,5,1,5,1,4,1,5,1,5,5,5,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,4,1,1,3,1,2,6,6,6,6,6,2,6,3,6,2,3,6,1,7,7,7,7,2,7,7,7
1,29,Male,University,Español ,Atheist,6,2,2,2,5,3,1,5,1,5,1,5,1,5,2,1,3,1,3,1,2,2,1,1,4,5,2,5,1,3,1,4,4,2,4,5,2,2,4,2,2,1,3,2,4,2,3,5,6,6,1,5,1,5,4,6,2,3,5,4,3,5,4,6,5,4,5,6
1,40,Male,University,Española,Religious,8,3,3,1,5,2,2,4,1,4,5,5,1,5,4,1,3,5,1,1,1,2,3,1,4,5,1,5,2,4,1,4,2,4,4,4,4,4,4,4,2,2,1,2,3,3,1,2,1,4,4,2,4,1,6,1,1,3,5,3,6,1,7,5,1,5,4,6
1,57,Male,Pre-University,Española,Agnostic,3,1,2,1,5,1,1,5,1,2,2,5,1,4,2,5,2,1,2,1,3,1,2,2,4,5,1,5,3,3,1,4,4,4,4,5,3,4,4,5,4,1,2,2,3,2,3,4,4,2,2,4,2,4,3,5,1,1,5,2,2,2,6,2,4,2,2,2
1,24,Male,University,Mexicana,Religious,6,4,4,2,3,4,3,2,1,2,5,3,2,4,1,1,4,4,4,1,1,2,2,1,3,4,4,3,2,5,2,4,3,4,4,4,4,4,4,3,2,1,3,2,2,1,3,4,4,4,5,3,6,2,3,3,5,4,3,4,2,5,2,3,5,4,4,4
1,48,Male,University,Argentino,Atheist,5,1,2,1,5,1,2,5,1,1,1,5,2,3,2,1,3,1,1,1,2,1,1,1,4,5,1,1,3,2,1,1,1,1,1,2,1,3,1,2,1,1,3,1,4,1,2,4,4,3,2,2,2,5,5,5,2,2,5,1,4,6,1,6,3,6,6,5
1,47,Male,Pre-University,Española,Atheist,3,3,3,1,5,1,1,5,1,2,1,5,1,3,1,1,3,2,1,1,3,1,1,3,3,5,1,5,1,3,1,5,5,3,5,5,3,5,3,5,1,3,2,1,3,3,2,2,1,3,6,3,2,1,6,3,3,2,6,2,6,6,3,7,3,5,7,7
1,41,Male,University,Española,Non-practicing religious,4,1,1,1,1,1,1,5,1,1,1,5,1,4,1,1,2,1,1,1,1,1,1,1,5,5,1,5,1,1,1,5,5,5,4,5,4,5,4,4,4,1,3,3,2,1,4,4,4,1,2,5,2,5,2,4,1,3,4,1,5,7,1,7,2,6,7,7
1,37,Female,University,Española,Atheist,3,2,1,3,5,5,4,2,1,4,1,5,1,5,4,1,3,1,1,1,1,1,2,1,4,5,1,1,1,1,1,4,4,3,4,4,4,5,4,4,4,1,4,3,3,1,3,2,2,2,2,2,5,1,5,4,2,3,4,2,5,6,2,6,3,5,6,6
1,51,Male,University,Mexicano,Atheist,4,1,1,1,5,1,1,5,1,1,1,5,1,4,1,2,1,1,1,1,4,1,1,1,5,5,1,5,1,1,1,5,5,5,4,5,4,5,5,5,3,3,2,2,4,3,2,5,5,2,2,4,2,6,4,6,2,5,6,2,6,6,1,7,4,6,7,7
1,43,Female,University,Española,Atheist,1,3,1,1,5,1,1,3,1,2,1,5,1,4,1,2,4,1,2,1,2,1,1,1,3,5,1,5,1,2,1,4,5,5,4,5,2,4,1,5,1,3,2,1,2,2,3,3,2,4,5,2,2,1,2,5,1,2,4,1,7,7,4,6,1,7,7,7
1,70,Male,Pre-University,Español ,Atheist,4,1,3,3,1,1,2,4,1,2,1,5,2,4,2,1,3,1,2,1,2,3,3,1,4,5,2,5,3,3,1,4,4,4,4,4,3,4,4,3,3,1,3,1,3,3,2,3,4,4,3,2,3,2,4,2,2,4,5,1,4,6,4,4,3,6,4,6
1,53,Male,University,Española,Atheist,7,1,3,4,5,2,1,1,1,2,1,5,1,4,1,1,2,1,1,1,3,1,1,1,4,4,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,3,3,3,3,5,2,3,1,3,3,1,5,5,4,7,4,5,7,4
1,21,Female,University,Mexicana,Non-practicing religious,5,4,3,4,2,1,4,4,5,5,5,4,3,5,3,2,4,1,4,1,4,4,3,5,4,4,4,3,3,4,2,4,2,3,4,5,5,4,3,3,3,4,2,1,3,3,2,4,6,1,2,5,5,5,4,6,2,3,4,5,4,1,4,4,5,3,3,4
1,51,Male,University,España,Atheist,1,4,1,1,4,1,1,4,1,1,1,5,1,3,1,1,2,1,2,1,1,1,1,1,1,5,1,5,1,4,1,3,5,4,4,4,3,4,3,3,4,3,2,1,1,3,4,1,1,3,1,1,1,6,6,2,1,1,1,1,7,7,1,7,1,7,7,7
1,37,Male,University,Uruguayo,Atheist,5,1,2,2,5,1,2,3,1,1,1,5,1,5,2,1,3,5,2,1,3,1,2,2,3,1,1,1,4,4,1,5,5,2,5,4,3,2,2,3,2,1,3,2,3,2,2,1,5,2,3,1,1,4,3,4,1,2,4,2,5,5,6,1,1,3,2,4
2,52,Female,University,España,Agnostic,2,1,5,1,5,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,2,1,5,5,4,5,4,3,5,5,4,5,1,4,4,1,1,3,5,5,4,3,5,5,5,4,6,5,1,6,3,6,7,4,7,3,4,7,7
1,54,Female,University,uruguaya,Agnostic,1,3,5,3,1,3,4,3,3,4,4,5,5,5,5,1,3,1,4,2,3,1,3,4,1,5,3,1,5,5,4,4,5,5,4,4,2,3,3,2,4,2,1,1,1,3,2,3,6,1,1,3,4,3,3,3,3,3,6,6,2,7,2,6,1,7,7,5
1,37,Male,Pre-University,Española,Non-practicing religious,4,1,1,1,4,3,1,5,1,2,2,5,1,3,1,1,3,1,2,1,3,3,3,1,2,5,3,5,2,4,1,4,5,1,5,4,3,5,4,2,2,1,4,3,3,1,2,5,3,3,2,2,3,4,5,4,1,1,4,3,6,4,2,7,3,4,4,5
1,45,Male,University,española,Atheist,7,4,1,1,5,1,2,2,1,2,1,5,1,4,2,1,2,1,2,1,1,1,4,2,4,5,1,1,2,4,1,3,4,4,4,4,2,5,4,4,2,1,2,3,4,1,4,6,5,2,1,5,1,6,3,6,2,1,5,2,6,6,3,7,3,5,6,5
1,28,Female,University,Española,Atheist,1,1,3,1,5,1,3,3,1,2,1,5,1,4,1,2,3,1,4,1,2,1,1,1,4,5,1,5,1,3,2,4,4,4,4,1,3,4,3,4,3,1,4,3,1,1,2,4,4,1,1,4,2,5,3,5,1,1,6,2,4,5,3,7,4,4,6,5
1,39,Male,University,España,Atheist,1,2,2,2,5,2,1,5,1,3,1,5,1,3,1,1,3,1,1,1,3,1,3,1,4,4,1,5,1,3,1,4,4,4,2,4,3,3,5,5,4,3,3,1,4,2,2,5,4,2,4,4,2,5,3,5,1,2,4,2,6,7,1,6,3,6,6,7
1,36,Male,Pre-University,Española,Atheist,3,2,3,2,5,3,1,5,1,3,4,5,1,4,2,1,3,1,1,1,2,1,1,1,3,5,1,1,2,2,1,4,5,4,4,5,2,2,4,4,2,1,4,1,3,4,2,3,3,2,4,5,6,2,3,4,1,1,4,1,5,5,3,7,4,5,7,7
1,33,Male,University,Mexicano,Atheist,1,1,1,1,5,3,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,5,1,1,1,5,5,5,5,5,5,5,3,3,3,4,3,1,4,4,1,6,6,6,6,6,1,4,1,1,1,1,1,1,7,7,1,7,1,7,7,7
1,43,Female,University,Española ,Non-practicing religious,1,1,2,3,5,1,3,3,2,1,1,5,2,4,4,2,4,1,2,1,1,1,3,1,1,5,2,5,2,5,1,4,5,5,4,4,4,5,5,3,5,3,3,3,2,3,2,5,6,5,3,3,6,6,3,6,3,5,6,2,4,6,2,7,3,5,2,5
1,23,Male,University,Española,Atheist,2,1,1,2,5,2,1,4,1,1,1,3,1,3,1,2,3,1,4,1,3,1,3,3,4,4,1,5,1,3,1,3,4,2,4,3,2,3,3,4,2,1,2,1,3,3,2,4,5,2,2,3,5,2,5,4,1,5,4,2,6,6,4,6,3,6,7,6
1,25,Male,University,Española,Agnostic,3,2,1,2,5,2,1,3,1,2,1,5,1,5,4,1,2,1,4,2,1,1,4,3,5,5,1,5,2,1,1,1,1,2,1,2,2,1,5,4,5,1,2,1,4,3,1,4,4,1,1,4,1,4,1,5,1,2,5,2,5,4,2,6,5,5,7,6
1,38,Female,Pre-University,Española,Atheist,1,4,4,1,1,1,1,2,1,3,1,5,1,5,1,4,3,1,4,1,1,1,1,1,3,5,1,5,1,3,1,5,5,3,5,2,5,5,2,5,3,3,2,1,4,2,1,4,4,6,1,1,4,2,1,1,6,6,2,2,6,6,2,7,1,7,4,7
1,47,Male,University,española,Atheist,3,1,1,1,4,1,1,5,1,2,1,5,1,5,1,1,2,4,2,1,2,1,1,1,4,5,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,2,1,1,3,2,3,2,2,1,1,2,2,5,5,4,5,1,5,2,4,6,2,4,2,6,4,4
1,26,Male,University,española,Atheist,3,1,1,2,5,3,1,5,1,1,1,5,1,4,1,1,3,1,3,1,1,1,1,4,5,5,2,5,1,4,1,5,5,5,5,5,5,5,5,5,3,1,4,3,4,3,4,2,2,4,1,1,6,5,6,3,3,4,6,1,7,7,1,7,3,7,6,7
1,46,Female,University,Española,Agnostic,7,1,3,3,5,1,1,5,1,2,1,5,3,3,1,1,2,1,3,1,1,1,1,1,1,5,1,5,1,1,1,5,5,4,5,5,2,5,5,5,4,1,4,3,1,1,1,6,6,6,1,6,1,6,5,5,1,1,6,1,7,7,4,7,2,6,6,7
1,42,Male,University,Spain,Atheist,7,1,3,2,5,2,1,3,1,3,1,5,2,4,1,2,3,1,5,1,2,1,3,2,3,5,1,5,1,2,1,5,5,4,5,4,4,5,4,4,4,1,3,2,2,3,3,4,4,2,3,5,2,4,3,4,2,3,5,2,5,6,2,6,3,5,7,6
1,45,Male,University,española,Non-practicing religious,10,1,2,4,1,2,1,5,1,3,1,5,1,4,1,5,1,1,3,1,3,1,1,3,4,5,1,5,1,1,1,5,5,5,4,5,4,5,4,4,5,3,3,3,4,3,2,3,4,1,2,6,3,5,1,6,4,5,6,2,6,5,7,6,1,7,7,7
1,36,Male,University,españa,Atheist,3,4,4,4,4,3,4,2,3,2,3,5,4,4,3,1,3,1,3,1,2,3,3,2,2,5,5,4,3,5,1,4,4,4,4,4,4,3,3,4,4,2,1,3,1,2,3,3,4,3,1,2,4,3,5,4,3,1,6,1,7,1,1,7,1,7,7,7
1,34,Male,Pre-University,Español,Atheist,4,1,2,1,5,1,1,5,1,2,1,5,1,3,3,1,4,1,3,1,2,1,2,3,3,5,1,5,1,2,1,4,4,4,4,5,3,3,3,3,3,1,3,2,2,2,3,4,4,2,3,4,2,5,4,4,2,1,5,2,6,5,4,7,3,6,2,5
1,43,Female,University,española,Religious,8,2,3,3,5,1,1,3,1,3,3,5,1,4,1,2,3,1,1,1,1,1,3,1,1,3,1,1,1,5,5,3,4,3,3,3,3,3,3,3,3,1,3,3,2,2,3,4,4,3,2,4,2,3,2,4,1,2,5,2,6,1,4,7,1,6,6,7
1,42,Male,University,Española,Atheist,2,2,2,1,5,1,1,5,1,1,1,5,1,5,1,1,3,3,1,1,4,1,1,1,5,5,1,5,3,2,1,5,5,5,5,5,5,5,5,5,5,1,4,2,2,1,3,6,5,4,2,4,1,4,6,6,1,1,6,1,7,7,1,7,4,7,7,7
1,32,Male,University,Española,Agnostic,4,4,4,4,5,1,1,3,1,3,1,5,1,3,3,1,4,1,4,1,1,1,3,1,3,4,3,5,1,5,1,5,5,5,5,5,4,5,4,4,3,3,2,3,3,3,2,3,5,2,1,4,2,5,3,4,1,1,6,1,7,5,4,6,3,6,6,7
1,49,Male,University,Española,Religious,6,1,3,1,1,3,1,5,1,1,1,5,4,4,1,1,2,1,1,1,4,1,3,1,5,5,1,5,1,1,1,5,5,4,5,5,2,5,5,5,3,2,1,1,2,4,1,2,2,3,5,2,2,4,5,2,2,2,2,1,7,7,1,7,1,7,1,7
2,47,Male,Pre-University,Española,Atheist,4,3,3,1,5,3,3,3,1,2,1,4,1,4,2,1,3,1,3,1,2,1,2,2,2,4,1,5,2,4,1,4,4,2,4,4,1,2,1,4,2,3,2,2,3,3,2,4,3,3,4,2,3,2,4,4,3,3,4,3,5,6,2,5,4,5,4,5
1,33,Female,University,Española,Agnostic,3,1,1,3,5,1,1,5,1,1,1,5,1,5,1,1,4,1,4,5,2,1,1,1,5,1,1,5,1,1,5,5,5,4,5,4,4,4,4,4,4,1,3,2,1,1,2,4,3,1,2,1,3,3,4,5,3,2,5,2,6,3,3,6,2,5,5,6
1,46,Male,University,Catalana,Agnostic,4,5,2,1,5,1,3,2,1,1,3,5,1,5,2,3,2,1,1,1,5,1,5,1,5,5,3,3,1,4,1,5,4,5,4,3,2,5,3,4,2,3,1,1,2,3,1,4,3,3,3,3,4,3,3,4,2,3,4,4,5,2,6,5,4,4,4,5
1,62,Male,University,española,Non-practicing religious,7,4,3,2,2,3,3,2,2,2,4,5,2,5,4,1,4,1,2,1,2,3,3,4,2,4,1,3,3,4,1,3,2,3,3,2,2,3,2,4,2,3,2,1,3,2,2,3,3,2,2,4,2,3,3,3,2,2,4,3,6,6,4,3,5,5,3,3
1,42,Male,University,ecuatoriano,Atheist,6,2,3,2,5,1,2,4,1,2,1,4,2,4,1,1,2,1,3,1,3,2,3,2,4,5,1,5,1,4,1,5,5,4,4,5,3,4,2,5,4,2,2,1,3,2,2,5,2,2,5,3,2,5,1,5,5,6,5,1,5,4,3,7,2,7,7,6
1,54,Male,University,Espanola,Atheist,2,3,1,1,5,3,1,5,1,5,1,5,1,5,1,1,3,1,1,1,1,1,3,1,3,5,1,5,3,3,1,5,5,5,5,5,5,5,5,5,5,1,3,1,3,3,1,6,6,1,1,6,3,6,3,6,3,1,6,1,6,6,1,7,3,5,5,5
1,43,Male,University,Español,Agnostic,2,1,1,3,1,1,1,5,1,1,1,5,1,4,1,1,4,2,2,1,2,1,3,1,5,5,1,5,1,2,1,4,5,5,4,5,3,4,3,3,3,1,3,1,4,3,3,5,4,2,2,2,3,1,4,5,1,2,4,1,5,6,1,6,3,6,7,6
1,37,Male,University,Española,Atheist,2,2,2,3,5,2,3,5,1,3,1,5,1,4,2,1,3,1,3,1,3,1,3,1,4,5,1,5,2,2,1,5,4,5,5,4,3,4,4,4,3,1,1,1,3,3,2,4,4,3,3,4,1,5,5,5,5,2,4,2,6,6,6,6,2,6,6,6
1,43,Male,University,Español,Religious,5,1,3,4,5,3,1,3,1,1,1,5,1,3,1,1,5,1,3,1,5,1,3,1,3,4,1,5,1,4,1,4,4,4,4,4,3,4,2,4,2,1,3,2,1,1,3,4,6,1,3,4,2,5,3,5,1,1,5,2,6,6,4,6,3,5,5,5
1,34,Male,University,Española,Agnostic,3,1,1,3,5,1,1,5,1,1,1,5,1,4,1,1,3,1,3,1,1,1,1,3,5,5,1,5,3,1,1,5,5,5,5,5,5,5,5,5,5,1,3,1,3,3,2,4,5,5,2,4,1,4,2,5,1,1,6,1,6,7,4,7,3,7,7,7
1,60,Male,University,Española,Atheist,4,4,4,2,4,4,2,2,1,2,1,4,2,4,2,4,3,1,4,2,1,2,3,4,4,4,1,4,3,4,1,4,3,4,4,4,4,4,4,4,4,2,1,1,2,2,1,5,5,5,2,5,2,5,4,5,2,2,5,3,6,6,2,6,4,5,4,3
1,29,Male,University,España,Agnostic,2,1,3,3,5,3,1,3,1,2,1,4,1,4,1,1,3,2,3,1,2,2,2,1,3,3,1,5,1,2,1,2,4,2,4,4,1,1,2,3,1,3,2,2,3,3,1,3,3,4,3,1,2,4,5,5,1,1,5,2,4,6,4,2,3,4,4,4
1,44,Male,University,Española,Atheist,4,1,1,2,4,3,2,3,1,2,2,5,1,3,1,1,2,1,3,5,2,1,2,1,3,5,1,1,2,3,1,4,4,4,5,5,2,4,4,4,2,1,2,1,3,2,3,5,5,4,2,5,2,5,3,5,1,1,5,2,5,4,4,7,4,5,4,6
1,28,Male,University,Española,Atheist,1,1,1,3,5,1,1,5,1,1,1,5,1,4,3,1,3,1,1,5,1,1,1,1,5,5,1,5,1,4,1,5,5,4,4,3,3,3,4,4,3,1,3,3,2,2,4,6,6,1,2,5,1,5,2,6,2,1,6,1,4,6,1,7,3,7,7,6
1,60,Male,University,Española,Atheist,3,1,1,5,5,1,1,1,1,2,1,5,1,5,1,1,1,1,1,1,1,1,5,1,5,5,1,5,1,2,1,5,5,5,5,5,4,5,4,4,4,2,1,1,2,2,3,5,3,5,3,2,3,5,5,2,5,5,5,2,6,6,2,7,1,7,7,7
1,37,Male,University,España,Atheist,3,4,4,2,4,3,4,2,1,3,1,5,3,3,2,2,3,1,2,1,1,4,1,1,3,5,2,4,4,5,1,3,4,4,4,3,5,4,4,4,4,3,3,3,3,3,3,3,5,4,4,2,5,3,4,3,2,4,3,1,7,7,1,7,3,6,6,6
1,39,Male,Pre-University,Española,Atheist,3,2,3,2,5,4,2,5,1,1,1,5,1,5,1,1,3,4,2,1,2,1,3,1,5,5,1,5,3,2,1,5,5,4,5,5,2,5,4,5,4,3,2,3,2,2,4,4,5,3,2,3,3,4,5,6,3,5,6,1,7,6,2,6,2,5,3,6
1,47,Male,University,Español ,Atheist,3,1,3,1,5,3,1,5,1,1,1,5,1,5,1,1,3,5,2,1,1,3,1,1,5,5,1,5,5,1,1,5,5,4,5,5,3,5,4,3,4,2,2,1,4,1,2,4,4,1,1,3,6,6,5,4,1,1,4,1,5,6,4,7,3,6,7,7
1,33,Female,Pre-University,Española ,Atheist,2,2,3,3,5,4,4,2,1,3,1,5,3,4,2,1,3,1,3,1,2,1,3,1,2,4,2,4,2,4,1,4,5,4,4,3,3,4,3,4,4,2,3,2,2,1,3,5,3,2,4,3,3,6,3,4,2,2,4,2,7,6,3,6,2,6,6,5
1,34,Male,University,Venezolano,Agnostic,7,1,4,2,5,1,1,5,1,4,4,4,1,3,1,1,3,1,4,1,1,2,1,1,3,5,1,5,3,4,1,4,3,5,4,4,4,4,4,4,4,2,2,2,3,3,2,4,4,1,2,3,4,4,4,4,2,4,4,4,3,3,2,2,5,2,1,1
1,41,Male,University,Chileno,Agnostic,3,4,4,3,3,3,4,3,4,1,1,5,1,5,2,1,4,1,4,1,2,4,1,1,1,5,1,2,3,5,1,3,3,3,3,3,3,4,3,4,4,3,1,1,3,2,1,4,3,2,1,4,3,3,3,4,1,2,4,3,5,5,3,4,4,5,3,4
1,28,Female,University,Española,Atheist,3,3,4,2,5,2,1,2,1,1,1,4,1,4,1,5,4,1,3,1,2,1,2,4,4,5,1,1,3,2,1,4,5,4,4,4,3,4,5,4,4,3,3,2,4,4,3,5,4,1,1,4,2,4,1,4,3,1,4,4,4,4,3,5,3,5,5,4
1,24,Female,Pre-University,Española,Religious,1,3,2,5,1,3,1,3,3,1,5,5,5,5,5,1,2,1,3,1,2,1,5,1,2,5,3,5,4,4,1,5,5,2,5,4,5,2,5,5,5,2,3,2,3,3,2,3,6,1,1,4,6,4,6,6,6,1,6,4,5,5,1,7,1,7,7,6
1,44,Male,University,España,Atheist,7,1,4,5,5,1,1,5,1,1,1,5,1,3,1,1,1,1,1,1,5,1,1,1,5,5,1,5,1,1,1,5,5,5,5,5,3,5,5,5,5,4,1,1,4,4,1,3,1,3,3,1,3,3,6,6,1,1,6,1,7,7,1,7,2,6,7,7
1,34,Male,University,spanish,Atheist,3,3,3,1,4,2,1,4,1,2,1,4,2,3,1,1,2,1,1,1,2,1,1,1,4,4,1,5,4,1,1,4,4,4,4,4,2,2,2,4,3,1,2,2,2,1,2,3,2,3,2,4,5,4,3,3,2,4,4,3,4,5,4,6,4,5,5,4
1,47,Male,University,Argentino,Religious,6,1,1,1,5,4,2,3,1,2,1,5,1,3,4,1,4,1,3,1,1,1,1,1,4,1,1,2,1,2,1,5,5,4,4,4,2,2,4,5,2,1,3,2,2,1,3,2,4,1,3,4,2,6,4,5,5,1,6,1,5,6,6,7,3,7,7,7
1,28,Male,University,Española,Atheist,3,3,3,3,5,2,3,3,1,2,2,3,2,4,1,1,3,1,3,1,2,3,2,3,3,4,3,5,2,3,1,2,4,3,2,4,2,2,2,3,2,1,4,2,1,1,3,2,4,1,2,5,2,1,2,4,2,2,5,5,5,3,2,2,6,3,2,3
1,45,Male,University,España,Agnostic,4,1,1,1,5,1,1,1,1,1,5,5,1,5,1,5,3,5,1,5,5,1,1,1,5,5,1,1,5,5,1,3,3,3,3,3,5,3,5,3,3,2,2,2,3,2,2,4,6,1,6,1,6,1,6,3,1,6,6,1,7,7,4,4,1,7,4,4
1,17,Male,Pre-University,Esapnayola,Atheist,3,4,4,1,5,2,2,2,1,2,2,5,1,3,2,1,3,1,3,2,4,2,3,1,4,4,1,5,2,2,1,5,5,5,5,5,2,4,2,2,2,2,2,1,3,3,3,4,4,2,3,6,2,5,3,6,1,1,4,2,4,6,2,6,3,6,1,4
1,41,Female,University,Argentina,Atheist,3,3,3,1,2,1,2,3,1,1,3,5,1,3,1,1,1,1,1,1,3,1,3,1,2,3,2,5,3,5,1,5,5,4,3,5,3,4,3,4,3,1,3,3,3,2,3,5,5,1,2,5,4,4,4,5,1,1,6,2,5,5,3,7,4,6,6,6
